ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
-0.21,0.5525,#EEE39B,#EEEA89,#EEE39B,#E8DCBC,#E8E3C4,#E8DFBC,#E7C7BD,#E8DABC,#E6D0E8
-0.2,0.55,#ECE3A7,#ECE998,#ECE3A7,#E7DDC3,#E7E3C9,#E7E0C3,#E7CCC3,#E7DCC3,#E6D3E7
-0.19,0.5475,#EAE3B3,#EAE8A7,#EAE3B3,#E6DEC9,#E6E3CE,#E6E1C9,#E6D0C9,#E6DDC9,#E5D7E6
-0.18,0.545,#E9E3BF,#E9E7B6,#E9E3BF,#E5E0D0,#E5E3D3,#E5E1D0,#E5D5D0,#E5DFD0,#E5DAE5
-0.17,0.5425,#E7E3CB,#E7E5C5,#E7E3CB,#E5E1D6,#E5E3D9,#E5E2D6,#E4DAD6,#E5E0D6,#E4DDE5
-0.16,0.54,#E5E3D7,#E5E4D4,#E5E3D7,#E4E2DD,#E4E3DE,#E4E2DD,#E4DEDD,#E4E2DD,#E4E0E4
-0.15,0.5375,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.14,0.535,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.13,0.5325,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.12,0.53,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.11,0.5275,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.1,0.525,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.09,0.5225,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.08,0.52,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.07,0.5175,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.06,0.515,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.05,0.5125,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.04,0.51,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.03,0.5075,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.02,0.505,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
-0.01,0.5025,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0,0.5,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.01,0.4975,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.02,0.495,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.03,0.4925,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.04,0.49,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.05,0.4875,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.06,0.485,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.07,0.4825,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.08,0.48,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.09,0.4775,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.1,0.475,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.11,0.4725,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.12,0.47,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.13,0.4675,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.14,0.465,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.15,0.4625,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3,#E3E3E3
0.16,0.46,#E0E2E4,#DDE2E2,#E3E1E4,#DDE2E2,#E0E2E4,#DFE2E1,#E0E2E4,#E3E1E4,#DDE4E0
0.17,0.4575,#DCE1E5,#D6E2E1,#E2DFE4,#D6E2E1,#DCE1E5,#DAE1E0,#DCE1E5,#E2DFE4,#D6E4DD
0.18,0.455,#D9E0E5,#D0E1E1,#E2DDE5,#D0E1E1,#D9E0E5,#D6E0DE,#D9E0E5,#E2DDE5,#D0E5D9
0.19,0.4525,#D6DFE6,#C9E1E0,#E1DBE6,#C9E1E0,#D6DFE6,#D1DFDC,#D6DFE6,#E1DBE6,#C9E5D6
0.2,0.45,#D2DEE7,#C3E0DF,#E1D9E7,#C3E0DF,#D2DEE7,#CDDFDB,#D2DEE7,#E1D9E7,#C3E6D3
